Sequence_ID	Host	Tissue
16_10_Blood_2_98	16_10	Blood
16_10_Blood_2_99	16_10	Blood
16_10_Blood_2_100	16_10	Blood
16_10_Blood_2_101	16_10	Blood
16_10_Blood_2_102	16_10	Blood
16_10_Blood_2_103	16_10	Blood
16_10_Blood_2_104	16_10	Blood
16_10_Blood_2_105	16_10	Blood
16_10_Blood_2_106	16_10	Blood
16_10_Blood_2_107	16_10	Blood
16_10_Blood_2_108	16_10	Blood
16_10_Blood_2_109	16_10	Blood
16_10_Blood_2_110	16_10	Blood
16_10_Blood_2_111	16_10	Blood
16_10_Blood_2_112	16_10	Blood
16_10_Blood_2_113	16_10	Blood
16_10_Lung_2_0	16_10	Lung
16_10_Lung_2_1	16_10	Lung
16_10_Lung_2_2	16_10	Lung
16_10_Lung_2_3	16_10	Lung
16_10_Lung_2_4	16_10	Lung
16_10_Lung_2_5	16_10	Lung
16_10_Lung_2_6	16_10	Lung
16_10_Lung_2_7	16_10	Lung
16_10_Lung_2_8	16_10	Lung
16_10_Lung_2_9	16_10	Lung
16_10_Lung_2_10	16_10	Lung
16_10_Lung_2_11	16_10	Lung
16_10_Lung_2_12	16_10	Lung
16_10_Lung_2_13	16_10	Lung
16_10_Lung_2_14	16_10	Lung
16_10_Lung_2_15	16_10	Lung
16_10_Lung_2_16	16_10	Lung
16_10_Lung_2_17	16_10	Lung
16_10_Lung_2_18	16_10	Lung
16_10_Lung_2_19	16_10	Lung
16_10_Lung_2_20	16_10	Lung
16_10_Lung_2_21	16_10	Lung
16_10_Lung_2_22	16_10	Lung
16_10_Lung_2_23	16_10	Lung
16_10_Lung_2_24	16_10	Lung
16_10_Lung_2_25	16_10	Lung
16_10_Lung_2_26	16_10	Lung
16_10_Lung_2_27	16_10	Lung
16_10_Lung_2_28	16_10	Lung
16_10_Lung_2_29	16_10	Lung
16_10_Lung_2_30	16_10	Lung
16_10_Lung_2_31	16_10	Lung
16_10_Lung_2_32	16_10	Lung
16_10_Lung_2_33	16_10	Lung
16_10_Lung_2_34	16_10	Lung
16_10_Lung_2_35	16_10	Lung
16_10_Lung_2_36	16_10	Lung
16_10_Lung_2_37	16_10	Lung
16_10_Lung_2_38	16_10	Lung
16_10_Lung_2_39	16_10	Lung
16_10_Lung_2_40	16_10	Lung
16_10_Lung_2_41	16_10	Lung
16_10_Lung_2_42	16_10	Lung
16_10_Lung_2_43	16_10	Lung
16_10_Lung_2_44	16_10	Lung
16_10_Lung_2_45	16_10	Lung
16_10_Lung_2_46	16_10	Lung
16_10_Lung_2_47	16_10	Lung
16_10_Lung_2_48	16_10	Lung
16_10_Lung_2_49	16_10	Lung
16_10_Lung_2_50	16_10	Lung
16_10_Lung_2_51	16_10	Lung
16_10_Lung_2_52	16_10	Lung
16_10_Lung_2_53	16_10	Lung
16_10_Lung_2_54	16_10	Lung
16_10_Lung_2_55	16_10	Lung
16_10_Lung_2_56	16_10	Lung
16_10_Lung_2_57	16_10	Lung
16_10_Lung_2_58	16_10	Lung
16_10_Lung_2_59	16_10	Lung
16_10_Lung_2_60	16_10	Lung
16_10_Lung_2_61	16_10	Lung
16_10_Lung_2_62	16_10	Lung
16_10_Lung_2_63	16_10	Lung
16_10_Lung_2_64	16_10	Lung
16_10_Lung_2_65	16_10	Lung
16_10_Lung_2_66	16_10	Lung
16_10_Lung_2_67	16_10	Lung
16_10_Lung_2_68	16_10	Lung
16_10_Lung_2_69	16_10	Lung
16_10_Lung_2_70	16_10	Lung
16_10_Lung_2_71	16_10	Lung
16_10_Lung_2_72	16_10	Lung
16_10_Lung_2_73	16_10	Lung
16_10_Lung_2_74	16_10	Lung
16_10_Lung_2_75	16_10	Lung
16_10_Lung_2_76	16_10	Lung
16_10_Lung_2_77	16_10	Lung
16_10_Lung_2_78	16_10	Lung
16_10_Lung_2_79	16_10	Lung
16_10_Lung_2_80	16_10	Lung
16_10_Lung_2_81	16_10	Lung
16_10_Lung_2_82	16_10	Lung
16_10_Lung_2_83	16_10	Lung
16_10_Lung_2_84	16_10	Lung
16_10_Lung_2_85	16_10	Lung
16_10_Lung_2_86	16_10	Lung
16_10_Lung_2_87	16_10	Lung
16_10_Lung_2_88	16_10	Lung
16_10_Lung_2_89	16_10	Lung
16_10_Lung_2_90	16_10	Lung
16_10_Lung_2_91	16_10	Lung
16_10_Lung_2_92	16_10	Lung
16_10_Lung_2_93	16_10	Lung
16_10_Lung_2_94	16_10	Lung
16_10_Lung_2_95	16_10	Lung
16_10_Lung_2_96	16_10	Lung
16_10_Lung_2_97	16_10	Lung
16_10_Lung_2_98	16_10	Lung
16_10_Lung_2_99	16_10	Lung
16_10_Lung_2_100	16_10	Lung
16_10_Lung_2_101	16_10	Lung
16_10_Lung_2_102	16_10	Lung
16_10_Lung_2_103	16_10	Lung
16_10_Lung_2_104	16_10	Lung
16_10_Lung_2_105	16_10	Lung
16_10_Lung_2_106	16_10	Lung
16_10_Lung_2_107	16_10	Lung
16_10_Lung_2_108	16_10	Lung
16_10_Lung_2_109	16_10	Lung
16_10_Lung_2_110	16_10	Lung
16_10_Lung_2_111	16_10	Lung
16_10_Lung_2_112	16_10	Lung
16_10_Lung_2_113	16_10	Lung
16_10_Lung_2_114	16_10	Lung
16_10_Lung_2_115	16_10	Lung
16_10_Lung_2_116	16_10	Lung
16_10_Lung_2_117	16_10	Lung
16_10_Lung_2_118	16_10	Lung
16_10_Lung_2_119	16_10	Lung
16_10_Lung_2_120	16_10	Lung
16_10_Lung_2_121	16_10	Lung
16_10_Lung_2_122	16_10	Lung
16_10_Lung_2_123	16_10	Lung
16_10_Lung_2_124	16_10	Lung
16_10_Lung_2_125	16_10	Lung
16_10_Lung_2_126	16_10	Lung
16_10_Lung_2_127	16_10	Lung
16_10_Lung_2_128	16_10	Lung
16_10_Lung_2_129	16_10	Lung
16_10_Lung_2_130	16_10	Lung
16_10_Lung_2_131	16_10	Lung
16_10_Lung_2_132	16_10	Lung
16_10_Lung_2_133	16_10	Lung
16_10_Lung_2_134	16_10	Lung
16_10_Lung_2_135	16_10	Lung
16_10_Lung_2_136	16_10	Lung
16_10_Lung_2_137	16_10	Lung
16_10_Lung_2_138	16_10	Lung
16_10_Lung_2_139	16_10	Lung
16_10_Lung_2_140	16_10	Lung
16_10_Lung_2_141	16_10	Lung
16_10_Lung_2_142	16_10	Lung
16_10_Lung_2_143	16_10	Lung
16_10_Lung_2_144	16_10	Lung
16_10_Lung_2_145	16_10	Lung
16_10_Lung_2_146	16_10	Lung
16_10_Lung_2_147	16_10	Lung
16_10_Lung_2_148	16_10	Lung
16_10_Lung_2_149	16_10	Lung
16_10_Lung_2_150	16_10	Lung
16_10_Lung_2_151	16_10	Lung
16_10_Lung_2_152	16_10	Lung
16_10_Lung_2_153	16_10	Lung
16_10_Lung_2_154	16_10	Lung
16_10_Lung_2_155	16_10	Lung
16_10_Lung_2_156	16_10	Lung
16_10_Lung_2_157	16_10	Lung
16_10_Lung_2_158	16_10	Lung
16_10_Lung_2_159	16_10	Lung
16_10_Lung_2_160	16_10	Lung
16_10_Lung_2_161	16_10	Lung
16_10_Lung_2_162	16_10	Lung
16_10_Lung_2_163	16_10	Lung
16_10_Lung_2_164	16_10	Lung
16_10_Lung_2_165	16_10	Lung
16_10_Lung_2_166	16_10	Lung
16_10_Lung_2_167	16_10	Lung
16_10_Lung_2_168	16_10	Lung
16_10_Lung_2_169	16_10	Lung
16_10_Lung_2_170	16_10	Lung
16_10_Lung_2_171	16_10	Lung
16_10_Lung_2_172	16_10	Lung
16_10_Lung_2_173	16_10	Lung
16_10_Lung_2_174	16_10	Lung
16_10_Lung_2_175	16_10	Lung
16_10_Lung_2_176	16_10	Lung
16_10_Lung_2_177	16_10	Lung
16_10_Lung_2_178	16_10	Lung
16_10_Lung_2_179	16_10	Lung
16_10_Lung_2_180	16_10	Lung
16_10_Lung_2_181	16_10	Lung
16_10_Lung_2_182	16_10	Lung
16_10_Lung_2_183	16_10	Lung
16_10_Lung_2_184	16_10	Lung
16_10_Lung_2_185	16_10	Lung
16_10_Lung_2_186	16_10	Lung
16_10_Lung_2_187	16_10	Lung
16_10_Lung_2_188	16_10	Lung
16_10_Lung_2_189	16_10	Lung
16_10_Lung_2_190	16_10	Lung
16_10_Lung_2_191	16_10	Lung
16_10_Lung_2_192	16_10	Lung
16_10_Lung_2_193	16_10	Lung
16_10_Lung_2_194	16_10	Lung
16_10_Lung_2_195	16_10	Lung
16_10_Lung_2_196	16_10	Lung
16_10_Lung_2_197	16_10	Lung
16_10_Lung_2_198	16_10	Lung
16_10_Lung_2_199	16_10	Lung
16_10_Lung_2_200	16_10	Lung
16_10_Lung_2_201	16_10	Lung
16_10_Lung_2_202	16_10	Lung
16_10_Lung_2_203	16_10	Lung
16_10_Lung_2_204	16_10	Lung
16_10_Lung_2_205	16_10	Lung
16_10_Lung_2_206	16_10	Lung
16_10_Lung_2_207	16_10	Lung
16_10_Lung_2_208	16_10	Lung
16_10_Lung_2_209	16_10	Lung
16_10_Lung_2_210	16_10	Lung
16_10_Lung_2_211	16_10	Lung
16_10_Lung_2_212	16_10	Lung
16_10_Lung_2_213	16_10	Lung
16_10_Lung_2_214	16_10	Lung
16_10_Lung_2_215	16_10	Lung
16_10_Lung_2_216	16_10	Lung
16_10_Lung_2_217	16_10	Lung
16_10_Lung_2_218	16_10	Lung
16_10_Lung_2_219	16_10	Lung
16_10_Lung_2_220	16_10	Lung
16_10_Lung_2_221	16_10	Lung
16_10_Lung_2_222	16_10	Lung
16_10_Lung_2_223	16_10	Lung
16_10_Lung_2_224	16_10	Lung
16_10_Lung_2_225	16_10	Lung
16_10_Lung_2_226	16_10	Lung
16_10_Lung_2_227	16_10	Lung
16_10_Lung_2_228	16_10	Lung
16_10_Lung_2_229	16_10	Lung
16_10_Lung_2_230	16_10	Lung
16_10_Lung_2_231	16_10	Lung
16_10_Lung_2_232	16_10	Lung
16_10_Lung_2_233	16_10	Lung
16_10_Lung_2_234	16_10	Lung
16_10_Lung_2_235	16_10	Lung
16_10_Lung_2_236	16_10	Lung
16_10_Lung_2_237	16_10	Lung
16_10_Lung_2_238	16_10	Lung
16_10_Lung_2_239	16_10	Lung
16_10_Lung_2_240	16_10	Lung
16_10_Lung_2_241	16_10	Lung
16_10_Lung_2_242	16_10	Lung
16_10_Lung_2_243	16_10	Lung
16_10_Lung_2_244	16_10	Lung
16_10_Lung_2_245	16_10	Lung
16_10_Lung_2_246	16_10	Lung
16_10_Lung_2_247	16_10	Lung
16_10_Lung_2_248	16_10	Lung
16_10_Lung_2_249	16_10	Lung
16_10_Lung_2_250	16_10	Lung
16_10_Lung_2_251	16_10	Lung
16_10_Lung_2_252	16_10	Lung
16_10_Lung_2_253	16_10	Lung
16_10_Lung_2_254	16_10	Lung
16_10_Lung_2_255	16_10	Lung
16_10_Lung_2_256	16_10	Lung
16_10_Lung_2_257	16_10	Lung
16_10_Lung_2_258	16_10	Lung
16_10_Lung_2_259	16_10	Lung
16_10_Lung_2_260	16_10	Lung
16_10_Lung_2_261	16_10	Lung
16_10_Lung_2_262	16_10	Lung
16_10_Lung_2_263	16_10	Lung
16_10_Lung_2_264	16_10	Lung
16_10_Lung_2_265	16_10	Lung
16_10_Lung_2_266	16_10	Lung
16_10_Lung_2_267	16_10	Lung
16_10_Lung_2_268	16_10	Lung
16_10_Lung_2_269	16_10	Lung
16_10_Lung_2_270	16_10	Lung
16_10_Lung_2_271	16_10	Lung
16_10_Lung_2_272	16_10	Lung
16_10_Lung_2_273	16_10	Lung
16_10_Lung_2_274	16_10	Lung
16_10_Lung_2_275	16_10	Lung
16_10_Lung_2_276	16_10	Lung
16_10_Lung_2_277	16_10	Lung
16_10_Lung_2_278	16_10	Lung
16_10_Lung_2_279	16_10	Lung
16_10_Lung_2_280	16_10	Lung
16_10_Lung_2_281	16_10	Lung
16_10_Lung_2_282	16_10	Lung
16_10_Lung_2_283	16_10	Lung
16_10_Lung_2_284	16_10	Lung
16_10_Lung_2_285	16_10	Lung
16_10_Lung_2_286	16_10	Lung
16_10_Lung_2_287	16_10	Lung
16_10_Lung_2_288	16_10	Lung
16_10_Lung_2_289	16_10	Lung
16_10_Lung_2_290	16_10	Lung
16_10_Lung_2_291	16_10	Lung
16_10_Lung_2_292	16_10	Lung
16_10_Lung_2_293	16_10	Lung
16_10_Lung_2_294	16_10	Lung
16_10_Lung_2_295	16_10	Lung
16_10_Lung_2_296	16_10	Lung
16_10_Lung_2_297	16_10	Lung
16_10_Lung_2_298	16_10	Lung
16_10_Lung_2_299	16_10	Lung
16_10_Lung_2_300	16_10	Lung
16_10_Lung_2_301	16_10	Lung
16_10_Lung_2_302	16_10	Lung
16_10_Lung_2_303	16_10	Lung
16_10_Lung_2_304	16_10	Lung
16_10_Lung_2_305	16_10	Lung
16_10_Lung_2_306	16_10	Lung
16_10_Lung_2_307	16_10	Lung
16_10_Lung_2_308	16_10	Lung
16_10_Lung_2_309	16_10	Lung
16_10_Lung_2_310	16_10	Lung
16_10_Lung_2_311	16_10	Lung
16_10_Lung_2_312	16_10	Lung
16_10_Lung_2_313	16_10	Lung
16_10_Lung_2_314	16_10	Lung
16_10_Lung_2_315	16_10	Lung
16_10_Lung_2_316	16_10	Lung
16_10_Lung_2_317	16_10	Lung
16_10_Lung_2_318	16_10	Lung
16_10_Lung_2_319	16_10	Lung
16_10_Lung_2_320	16_10	Lung
16_10_Blood_2_114	16_10	Blood
16_10_Blood_2_115	16_10	Blood
16_10_Blood_2_116	16_10	Blood
16_10_Blood_2_117	16_10	Blood
16_10_Blood_2_118	16_10	Blood
16_10_Blood_2_119	16_10	Blood
16_10_Blood_2_120	16_10	Blood
16_10_Gut_2_0	16_10	Gut
16_10_Blood_2_121	16_10	Blood
